Image Name,Green View Index
15573_sat_58.jpg,0.0
202277_sat_63.jpg,0.0
162310_sat_28.jpg,0.696
126796_sat_57.jpg,0.0099
162310_sat_80.jpg,0.5267
122178_sat_13.jpg,0.8288
202277_sat_08.jpg,0.0
143794_sat_33.jpg,0.11
170535_sat_56.jpg,0.483
126796_sat_68.jpg,0.1183
192918_sat_31.jpg,0.0
134465_sat_64.jpg,0.3963
13415_sat_43.jpg,0.002
15573_sat_17.jpg,0.0019
192918_sat_40.jpg,0.0
126796_sat_32.jpg,0.0451
192918_sat_71.jpg,0.0
143794_sat_25.jpg,0.0
133209_sat_20.jpg,0.018
147716_sat_14.jpg,0.0151
20187_sat_65.jpg,0.0541
148381_sat_62.jpg,0.3769
156574_sat_26.jpg,0.1298
176225_sat_67.jpg,0.4159
134465_sat_62.jpg,0.3285
122104_sat_87.jpg,0.4505
174980_sat_37.jpg,0.8057
148381_sat_21.jpg,0.5105
182422_sat_16.jpg,0.0026
148381_sat_23.jpg,0.3739
182422_sat_57.jpg,0.0006
192918_sat_38.jpg,0.0026
174980_sat_80.jpg,0.7669
15573_sat_02.jpg,0.1359
148381_sat_77.jpg,0.6526
182422_sat_27.jpg,0.0005
148381_sat_56.jpg,0.2303
174980_sat_01.jpg,0.5898
20187_sat_77.jpg,0.1347
152569_sat_03.jpg,0.1662
174980_sat_71.jpg,0.4489
156574_sat_45.jpg,0.6663
148381_sat_30.jpg,0.5994
15573_sat_15.jpg,0.0054
13415_sat_35.jpg,0.0013
202277_sat_25.jpg,0.0002
156574_sat_64.jpg,0.6464
134465_sat_51.jpg,0.257
162310_sat_01.jpg,0.4202
133209_sat_24.jpg,0.0
202277_sat_35.jpg,0.0
143794_sat_27.jpg,0.0014
13415_sat_00.jpg,0.0019
148381_sat_75.jpg,0.3164
192918_sat_60.jpg,0.0003
170535_sat_32.jpg,0.0182
182422_sat_61.jpg,0.0005
174980_sat_05.jpg,0.5279
148381_sat_31.jpg,0.4315
122104_sat_61.jpg,0.4017
147716_sat_02.jpg,0.3444
152569_sat_25.jpg,0.1189
192918_sat_30.jpg,0.0001
15573_sat_40.jpg,0.0019
15573_sat_27.jpg,0.0045
147716_sat_08.jpg,0.0048
156574_sat_78.jpg,0.7645
134465_sat_67.jpg,0.3797
15573_sat_83.jpg,0.0
156574_sat_12.jpg,0.318
15573_sat_32.jpg,0.0227
192918_sat_01.jpg,0.0
15573_sat_44.jpg,0.01
170535_sat_22.jpg,0.486
133209_sat_52.jpg,0.0662
143794_sat_35.jpg,0.1008
156574_sat_20.jpg,0.2349
13415_sat_24.jpg,0.0029
